model,dataset,arm,seed,knob,value,status,winner,val HR@20,val NDCG@20,val Recall@20,test HR@20,test NDCG@20,test Recall@20,train (s),wall (h),cfg.batch_size,cfg.k_embed_dim,cfg.lambda_reg,cfg.lambda_shared,cfg.learning_rate,cfg.mlp_hidden_count,cfg.n_epochs,cfg.num_factors,cfg.num_layers,cfg.num_neg
bpr,baby,causal,2026,lambda_shared,0.01,done,,0.04539893978523855,0.010687551867140987,0.024712609048493168,0.02911150103684798,0.007615811609973921,0.017651810882008723,743.8482060432434,0.21417479621039495,4096.0,64.0,,0.01,0.05,,1000.0,,,
bpr,baby,causal,2026,learning_rate,0.1,done,,0.0445380816455983,0.011109689707443613,0.023881658145157286,0.02974956133354602,0.00827790346413839,0.017439708945225677,423.28779458999634,0.12499288174841139,4096.0,64.0,,0.0001,0.1,,1000.0,,,
bpr,cellphone,uniform,42,baseline,,done,,0.0178,0.0053,0.0113,0.012476425359059917,0.0041837819112248995,0.008738301233428818,8465.08803987503,2.429682023459011,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,42,k_embed_dim,32,done,,0.0165,0.0049,0.0104,0.012313216306397794,0.0038176933312728954,0.008593043981244027,4780.325660943985,1.377684870229827,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,42,k_embed_dim,128,done,,0.018,0.0054,0.0115,0.013927172493834324,0.004412835593238476,0.009755409145665847,14077.303809642792,4.022246106531885,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,42,k_embed_dim,256,done,,0.0187,0.0058,0.0121,0.0133106049615552,0.004469445484298375,0.0095641360832842,27206.735086917877,7.744466154442893,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,42,lambda_shared,1e-06,done,,0.01929350761585827,0.006069716753410041,0.01264102462920212,0.013510082692586682,0.004531379419617069,0.009559204511804543,30132.6119222641,8.556719171272384,4096.0,256.0,,1e-06,0.1,,1000.0,,,
bpr,cellphone,uniform,42,lambda_shared,1e-05,done,,0.019250297072485687,0.006039291087427012,0.012611767490460266,0.013510082692586682,0.004540061495399237,0.009573884691144523,28929.81982779503,8.221083159314261,4096.0,256.0,,1e-05,0.1,,1000.0,,,
bpr,cellphone,uniform,42,learning_rate,0.001,done,,0.0004,0.0001,0.0003,0.00036268678369360223,8.552909830740557e-05,0.00025901881135451425,5982.71510219574,1.8491730895969603,4096.0,256.0,,0.0001,0.001,,1000.0,,,
bpr,cellphone,uniform,42,lambda_shared,0.001,done,,0.018159230852327967,0.0052694513917150585,0.01169822926245731,0.013365007979109242,0.004113011338449142,0.00952218177930683,9138.046998262405,2.724469781120618,4096.0,256.0,,0.001,0.1,,1000.0,,,
bpr,cellphone,uniform,42,learning_rate,0.01,done,,0.012865939289186562,0.0031979147480699155,0.00809467052359555,0.0101189612650515,0.0026354874222771375,0.0069309895759736145,16438.10596728325,4.75028436296516,4096.0,256.0,,0.0001,0.01,,1000.0,,,
bpr,cellphone,uniform,42,lambda_shared,0.01,done,,0.01987684995138814,0.005768251104436973,0.013075685057563647,0.014978964166545771,0.004562362554399354,0.010830936224904735,11037.737549066544,3.2497264057397843,4096.0,256.0,,0.01,0.1,,1000.0,,,
bpr,cellphone,uniform,42,learning_rate,0.1,done,yes,0.019812034136329263,0.006111538989271949,0.012853247744720984,0.013909038154649644,0.004603959423491565,0.009959458588446398,22881.574656248093,6.542297461231549,4096.0,256.0,,0.0001,0.1,,1000.0,,,
bpr,cellphone,uniform,2026,baseline,,done,,0.01627957221562061,0.004955322112533692,0.010382015929169472,0.012440156680690555,0.003996165893290885,0.008972589621380124,15146.452780246735,4.332248223688867,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,2026,k_embed_dim,32,done,,0.014723992654207627,0.0043927041665934585,0.009422358314992848,0.011061946902654867,0.0035364065809527466,0.007808601278902954,8386.55425953865,2.414755458831787,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,2026,k_embed_dim,128,done,,0.01774873069028843,0.005337641586843997,0.011373903223219193,0.01309299289133904,0.004488484578484625,0.009350472578939643,18189.43130660057,5.18815595097012,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,uniform,2026,k_embed_dim,256,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,lambda_shared,1e-06,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,lambda_shared,1e-05,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,learning_rate,0.001,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,lambda_shared,0.001,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,learning_rate,0.01,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,lambda_shared,0.01,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,uniform,2026,learning_rate,0.1,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,causal,42,baseline,,done,,0.03207302581829966,0.008798396709997366,0.020593019157213736,0.023302625852313942,0.0066693151935545356,0.016704956109061756,4862.435986757278,1.420246304737197,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,causal,42,k_embed_dim,32,done,,0.03275359187641785,0.009224986239236135,0.02112530442442932,0.023556506600899463,0.007130709761999252,0.01714276756396148,3540.414982318878,1.0335232428709666,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,causal,42,k_embed_dim,128,done,,0.03244031543696662,0.008875342417132623,0.02091756646363963,0.024154939793993906,0.006840608803469521,0.01745192926239491,7401.154215335846,2.1638665245638955,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,causal,42,k_embed_dim,256,done,,0.030074538187317704,0.008177823535121857,0.01950904421278185,0.022160162483679094,0.00626372748383362,0.016134513351822893,13834.889343261719,4.030649682548311,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,cellphone,causal,42,lambda_shared,1e-06,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,causal,42,lambda_shared,1e-05,missing,,,,,,,,,,,,,,,,,,,
